Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/ccg/02P/measures/?tags=lowpriority,20180918,23,1,00:01:02,0,0.00%,0.00%,$10.00
/ccg/99Q/measures/?tags=lowpriority,20180926,22,4,00:03:30,1,0.00%,4.55%,$5.00
/ccg/99P/measures/?tags=lowpriority,20180926,18,3,00:00:43,0,0.00%,0.00%,$6.67
/ccg/10V/measures/?tags=lowpriority,20181005,16,1,00:00:31,0,0.00%,0.00%,$10.00
/ccg/03R/measures/?tags=lowpriority,20181114,15,8,00:01:02,0,0.00%,0.00%,$5.00
/ccg/04M/measures/?tags=lowpriority,20190108,15,3,00:00:42,0,0.00%,0.00%,$8.33
/ccg/10V/measures/?tags=lowpriority,20181212,14,3,00:02:27,0,0.00%,7.14%,$13.33
/ccg/99N/measures/?tags=lowpriority,20181011,13,1,00:00:35,0,0.00%,0.00%,$0.00
/ccg/10K/measures/?tags=lowpriority,20181005,12,2,00:00:47,0,0.00%,8.33%,$0.00
/ccg/99N/measures/?tags=lowpriority,20181117,12,1,00:01:18,0,0.00%,0.00%,$0.00
/ccg/02M/measures/?tags=lowpriority,20190114,10,1,00:00:20,0,0.00%,0.00%,$0.00
/ccg/04E/measures/?tags=lowpriority,20181027,10,1,00:00:15,0,0.00%,10.00%,$0.00
/ccg/10D/measures/?tags=lowpriority,20181121,10,3,00:00:23,1,100.00%,20.00%,$6.67
/ccg/15D/measures/?tags=lowpriority,20181211,10,2,00:00:24,1,0.00%,10.00%,$5.00
/ccg/12F/measures/?tags=lowpriority,20181009,9,3,00:02:24,0,0.00%,0.00%,$10.00
/ccg/03L/measures/?tags=lowpriority,20190129,8,3,00:01:34,0,0.00%,0.00%,$10.00
/ccg/00C/measures/?tags=lowpriorityconsultation,20181228,7,1,00:00:27,0,0.00%,0.00%,$0.00
/ccg/02D/measures/?tags=lowpriorityconsultation,20181205,7,1,00:00:09,0,0.00%,0.00%,$0.00
/ccg/02X/measures/?tags=lowpriority,20181205,7,2,00:01:00,0,0.00%,0.00%,$10.00
/ccg/03L/measures/?tags=lowpriority,20181018,7,1,00:00:28,0,0.00%,0.00%,$0.00
/ccg/04D/measures/?tags=lowpriority,20180917,7,5,00:05:10,5,60.00%,71.43%,$0.00
/ccg/08K/measures/?tags=lowpriority,20190114,7,1,00:07:20,0,0.00%,0.00%,$10.00
/ccg/08V/measures/?tags=lowpriority,20181128,7,4,00:00:45,0,0.00%,14.29%,$7.50
/ccg/11X/measures/?tags=lowpriority,20190130,7,6,00:02:02,5,80.00%,57.14%,$0.00
/ccg/12F/measures/?tags=lowpriority,20181011,7,3,00:03:56,3,0.00%,0.00%,$10.00
/ccg/99M/measures/?tags=lowpriority,20181101,7,2,00:01:50,0,0.00%,0.00%,$7.50
/ccg/99M/measures/?tags=lowpriority,20181102,7,1,00:02:03,0,0.00%,0.00%,$0.00
/ccg/99M/measures/?tags=lowpriority,20190108,7,2,00:00:25,0,0.00%,0.00%,$5.00
/ccg/99P/measures/?tags=lowpriorityconsultation,20181130,7,3,00:02:32,2,50.00%,28.57%,$0.00
/ccg/02M/measures/?tags=lowpriority,20190116,6,2,00:00:40,0,0.00%,0.00%,$5.00
/ccg/04D/measures/?tags=lowpriority,20180913,6,3,00:23:54,3,66.67%,50.00%,$3.33
/ccg/05C/measures/?tags=lowpriority,20181224,6,2,00:02:17,0,0.00%,16.67%,$5.00
/ccg/05N/measures/?tags=lowpriority,20190121,6,3,00:00:21,0,0.00%,0.00%,$3.33
/ccg/08E/measures/?tags=lowpriority,20181015,6,1,00:00:39,0,0.00%,0.00%,$0.00
/ccg/10V/measures/?tags=lowpriority,20181107,6,2,00:05:31,0,0.00%,0.00%,$5.00
/ccg/11X/measures/?tags=lowpriority,20181119,6,4,00:00:34,3,66.67%,33.33%,$5.00
/ccg/12F/measures/?tags=lowpriority,20190131,6,2,00:00:40,0,0.00%,0.00%,$5.00
/ccg/99J/measures/?tags=lowpriority,20181105,6,1,00:01:55,0,0.00%,0.00%,$25.00
/ccg/99Q/measures/?tags=lowpriority,20180910,6,2,00:08:16,1,0.00%,16.67%,$5.00
/ccg/00C/measures/?tags=lowpriority,20181228,5,1,00:01:30,0,0.00%,0.00%,$10.00
/ccg/01X/measures/?tags=lowpriority,20181013,5,1,00:00:50,0,0.00%,20.00%,$10.00
/ccg/02Y/measures/?tags=lowpriority,20190123,5,3,00:00:55,1,100.00%,20.00%,$6.67
/ccg/03T/measures/?tags=lowpriority,20181005,5,1,00:03:07,0,0.00%,0.00%,$0.00
/ccg/04D/measures/?tags=lowpriority,20180911,5,5,00:00:00,5,100.00%,100.00%,$0.00
/ccg/04D/measures/?tags=lowpriority,20180914,5,4,00:13:20,4,75.00%,80.00%,$0.00
/ccg/04E/measures/?tags=lowpriority,20181230,5,1,00:00:15,0,0.00%,0.00%,$0.00
/ccg/05W/measures/?tags=lowpriority,20181119,5,1,00:01:46,0,0.00%,0.00%,$0.00
/ccg/05X/measures/?tags=lowpriority,20181129,5,3,00:00:43,0,0.00%,40.00%,$10.00
/ccg/06H/measures/?tags=lowpriority,20181004,5,3,00:08:41,0,0.00%,40.00%,$3.33
/ccg/06M/measures/?tags=lowpriorityconsultation,20181205,5,1,00:01:40,0,0.00%,0.00%,$10.00
/ccg/07W/measures/?tags=lowpriorityconsultation,20181220,5,2,00:02:01,0,0.00%,0.00%,$5.00
/ccg/08X/measures/?tags=lowpriority,20181113,5,3,00:01:07,1,0.00%,20.00%,$3.33
/ccg/09C/measures/?tags=lowpriority,20190115,5,1,00:09:32,0,0.00%,0.00%,$10.00
/ccg/11X/measures/?tags=lowpriority,20190131,5,5,00:00:00,5,100.00%,100.00%,$0.00
/ccg/12F/measures/?tags=lowpriority,20181003,5,3,00:02:00,0,0.00%,20.00%,$0.00
/ccg/12F/measures/?tags=lowpriority,20181004,5,3,00:01:59,0,0.00%,0.00%,$10.00
/ccg/12F/measures/?tags=lowpriority,20190104,5,2,00:00:10,1,0.00%,20.00%,$5.00
/ccg/12F/measures/?tags=lowpriority,20190121,5,1,00:00:56,1,0.00%,20.00%,$10.00
/ccg/15C/measures/?tags=lowpriority,20190122,5,1,00:01:00,0,0.00%,0.00%,$10.00
/ccg/99P/?tags=lowpriority,20180926,5,3,00:00:07,1,0.00%,0.00%,$3.33
/ccg/99P/measures/?tags=lowpriority,20180927,5,3,00:06:54,1,0.00%,0.00%,$6.67
/ccg/99P/measures/?tags=lowpriority,20181108,5,3,00:03:58,0,0.00%,0.00%,$10.00
/ccg/99P/measures/?tags=lowpriority,20181126,5,2,00:04:05,0,0.00%,20.00%,$5.00
/ccg/99Q/measures/?tags=lowpriority,20181015,5,2,00:00:47,0,0.00%,20.00%,$0.00
/ccg/99Q/measures/?tags=lowpriority,20181108,5,4,00:00:40,2,100.00%,60.00%,$0.00
/ccg/00R/measures/?tags=lowpriority,20181031,4,1,00:03:16,0,0.00%,0.00%,$0.00
/ccg/00R/measures/?tags=lowpriority,20190125,4,1,00:01:41,0,0.00%,0.00%,$10.00
/ccg/00X/measures/?tags=lowpriority,20181119,4,1,00:01:05,0,0.00%,25.00%,$10.00
/ccg/02M/measures/?tags=lowpriority,20181101,4,2,00:00:57,0,0.00%,0.00%,$5.00
/ccg/03F/measures/?tags=lowpriority,20190123,4,1,00:00:59,0,0.00%,0.00%,$0.00
/ccg/04D/measures/?tags=lowpriority,20180918,4,3,00:05:37,3,66.67%,75.00%,$0.00
/ccg/04Q/measures/?tags=lowpriority,20181003,4,2,00:01:00,0,0.00%,0.00%,$5.00
/ccg/05L/measures/?tags=lowpriority,20190106,4,2,00:00:32,0,0.00%,0.00%,$15.00
/ccg/05T/measures/?tags=lowpriority,20181031,4,2,00:00:58,0,0.00%,25.00%,$5.00
/ccg/06K/measures/?tags=lowpriority,20181005,4,1,00:00:48,0,0.00%,25.00%,$10.00
/ccg/06M/measures/?tags=lowpriority,20181004,4,2,00:00:32,0,0.00%,0.00%,$5.00
/ccg/06M/measures/?tags=lowpriority,20190108,4,2,00:01:10,0,0.00%,0.00%,$5.00
/ccg/06M/measures/?tags=lowpriorityconsultation,20190108,4,3,00:01:02,0,0.00%,0.00%,$3.33
/ccg/06V/measures/?tags=lowpriorityconsultation,20181205,4,1,00:00:18,0,0.00%,0.00%,$0.00
/ccg/07J/measures/?tags=lowpriority,20181029,4,1,00:00:42,0,0.00%,0.00%,$10.00
/ccg/07R/measures/?tags=lowpriority,20181227,4,1,00:01:11,0,0.00%,0.00%,$10.00
/ccg/08K/measures/?tags=lowpriorityconsultation,20190115,4,1,00:01:35,1,0.00%,25.00%,$10.00
/ccg/08K/measures/?tags=lowpriorityconsultation,20190124,4,3,00:01:27,2,50.00%,75.00%,$0.00
/ccg/09L/measures/?tags=lowpriority,20190115,4,1,00:00:49,0,0.00%,25.00%,$0.00
/ccg/10K/measures/?tags=lowpriority,20181128,4,1,00:00:36,0,0.00%,0.00%,$10.00
/ccg/10K/measures/?tags=lowpriority,20181212,4,4,00:00:33,0,0.00%,75.00%,$5.00
/ccg/10V/measures/?tags=lowpriority,20181017,4,1,00:00:45,0,0.00%,25.00%,$10.00
/ccg/10V/measures/?tags=lowpriority,20181114,4,1,00:00:38,0,0.00%,0.00%,$20.00
/ccg/11A/measures/?tags=lowpriority,20181003,4,2,00:04:04,1,0.00%,50.00%,$5.00
/ccg/11E/measures/?tags=lowpriority,20181011,4,1,00:00:58,0,0.00%,0.00%,$10.00
/ccg/11N/measures/?tags=lowpriority,20180920,4,1,00:00:37,0,0.00%,25.00%,$0.00
/ccg/11N/measures/?tags=lowpriority,20181003,4,3,00:02:25,0,0.00%,50.00%,$6.67
/ccg/11X/measures/?tags=lowpriority,20190102,4,1,00:00:34,0,0.00%,0.00%,$0.00
/ccg/12F/measures/?tags=lowpriority,20181008,4,3,00:00:30,0,0.00%,0.00%,$6.67
/ccg/15C/measures/?tags=lowpriority,20181126,4,2,00:00:16,0,0.00%,0.00%,$10.00
/ccg/15C/measures/?tags=lowpriority,20190106,4,1,00:00:53,0,0.00%,0.00%,$0.00
/ccg/99M/measures/?tags=lowpriorityconsultation,20190107,4,1,00:00:18,0,0.00%,0.00%,$10.00
/ccg/99N/measures/?tags=lowpriority,20181114,4,1,00:00:44,0,0.00%,0.00%,$5.00
/ccg/99P/measures/?tags=lowpriority,20181007,4,1,00:01:36,0,0.00%,0.00%,$0.00
/ccg/99P/measures/?tags=lowpriority,20190122,4,1,00:00:47,0,0.00%,0.00%,$10.00
/ccg/99P/measures/?tags=lowpriorityconsultation,20181128,4,2,00:02:58,0,0.00%,25.00%,$5.00
/ccg/99P/measures/?tags=lowpriorityconsultation,20181129,4,1,00:00:49,0,0.00%,0.00%,$0.00
/ccg/99Q/?tags=lowpriority,20180926,4,3,00:00:54,0,0.00%,0.00%,$6.67
/ccg/99Q/measures/?tags=lowpriority,20181118,4,1,00:00:42,0,0.00%,0.00%,$10.00
/ccg/00D/measures/?tags=lowpriority,20181129,3,1,00:00:35,0,0.00%,0.00%,$0.00
/ccg/00K/measures/?tags=lowpriority,20181128,3,3,00:01:53,0,0.00%,33.33%,$6.67
/ccg/00P/measures/?tags=lowpriority,20190122,3,3,00:00:00,3,100.00%,100.00%,$0.00
/ccg/00R/measures/?tags=lowpriority,20181202,3,1,00:00:11,0,0.00%,0.00%,$0.00
/ccg/01F/measures/?tags=lowpriority,20190104,3,1,00:00:21,0,0.00%,0.00%,$0.00
/ccg/02N/measures/?tags=lowpriority,20181025,3,1,00:02:28,0,0.00%,0.00%,$0.00
/ccg/02N/measures/?tags=lowpriority,20181204,3,2,00:00:14,0,0.00%,33.33%,$0.00
/ccg/02T/measures/?tags=lowpriority,20190117,3,1,00:04:55,0,0.00%,0.00%,$15.00
/ccg/03F/measures/?tags=lowpriority,20190117,3,1,00:00:24,0,0.00%,0.00%,$0.00
/ccg/03J/measures/?tags=lowpriority,20181204,3,2,00:00:11,0,0.00%,66.67%,$10.00
/ccg/03L/measures/?tags=lowpriority,20181019,3,2,00:00:12,0,0.00%,0.00%,$5.00
/ccg/03L/measures/?tags=lowpriority,20181213,3,1,00:00:46,0,0.00%,0.00%,$0.00
/ccg/03L/measures/?tags=lowpriority,20181221,3,2,00:00:20,0,0.00%,66.67%,$5.00
/ccg/03N/measures/?tags=lowpriority,20181019,3,1,00:00:41,0,0.00%,0.00%,$10.00
/ccg/03W/measures/?tags=lowpriority,20181031,3,1,00:05:34,0,0.00%,0.00%,$0.00
/ccg/04G/measures/?tags=lowpriority,20181129,3,1,00:00:25,0,0.00%,0.00%,$10.00
/ccg/04M/measures/?tags=lowpriority,20190131,3,1,00:01:00,0,0.00%,0.00%,$0.00
/ccg/05F/measures/?tags=lowpriority,20181128,3,1,00:01:01,0,0.00%,0.00%,$10.00
/ccg/05L/measures/?tags=lowpriority,20181015,3,2,00:00:59,0,0.00%,33.33%,$5.00
/ccg/05N/measures/?tags=lowpriority,20190120,3,1,00:04:59,0,0.00%,0.00%,$0.00
/ccg/05N/measures/?tags=lowpriority,20190124,3,3,00:01:10,0,0.00%,33.33%,$3.33
/ccg/05T/measures/?tags=lowpriority,20190102,3,3,00:01:58,0,0.00%,0.00%,$3.33
/ccg/05W/measures/?tags=lowpriority,20180925,3,1,00:01:08,0,0.00%,0.00%,$0.00
/ccg/06H/measures/?tags=lowpriority,20180912,3,2,00:00:31,0,0.00%,0.00%,$2.50
/ccg/06H/measures/?tags=lowpriority,20181005,3,2,00:00:33,2,50.00%,66.67%,$0.00
/ccg/06H/measures/?tags=lowpriority,20190110,3,1,00:00:25,0,0.00%,0.00%,$10.00
/ccg/06K/measures/?tags=lowpriority,20181203,3,2,00:02:35,0,0.00%,66.67%,$5.00
/ccg/06M/measures/?tags=lowpriority,20181122,3,1,00:00:52,0,0.00%,0.00%,$0.00
/ccg/06M/measures/?tags=lowpriority,20181205,3,1,00:00:11,0,0.00%,0.00%,$10.00
/ccg/06T/measures/?tags=lowpriority,20190109,3,2,00:00:21,0,0.00%,33.33%,$10.00
/ccg/06V/measures/?tags=lowpriority,20181004,3,1,00:01:14,0,0.00%,0.00%,$0.00
/ccg/06V/measures/?tags=lowpriority,20181207,3,1,00:01:16,0,0.00%,0.00%,$15.00
/ccg/06Y/measures/?tags=lowpriority,20190130,3,1,00:01:19,0,0.00%,0.00%,$15.00
/ccg/07K/measures/?tags=lowpriority,20180912,3,1,00:00:18,0,0.00%,0.00%,$10.00
/ccg/07N/measures/?tags=lowpriority,20190131,3,2,00:03:43,1,100.00%,33.33%,$0.00
/ccg/07R/measures/?tags=lowpriority,20180925,3,1,00:02:42,0,0.00%,33.33%,$0.00
/ccg/07R/measures/?tags=lowpriorityconsultation,20181204,3,1,00:09:42,0,0.00%,33.33%,$10.00
/ccg/07V/measures/?tags=lowpriorityconsultation,20190131,3,1,00:02:17,0,0.00%,0.00%,$0.00
/ccg/07X/measures/?tags=lowpriority,20180921,3,1,00:00:14,0,0.00%,0.00%,$10.00
/ccg/07X/measures/?tags=lowpriority,20181202,3,1,00:00:15,0,0.00%,0.00%,$10.00
/ccg/07X/measures/?tags=lowpriority,20190124,3,3,00:12:13,1,0.00%,33.33%,$6.67
/ccg/08C/measures/?tags=lowpriority,20181115,3,1,00:06:39,0,0.00%,0.00%,$10.00
/ccg/08G/measures/?tags=lowpriority,20180919,3,3,00:00:44,3,66.67%,66.67%,$0.00
/ccg/08H/measures/?tags=lowpriority,20180908,3,1,00:00:25,0,0.00%,0.00%,$0.00
/ccg/08J/measures/?tags=lowpriority,20181120,3,3,00:02:36,1,0.00%,33.33%,$3.33
/ccg/08K/measures/?tags=lowpriorityconsultation,20190123,3,2,00:01:56,2,50.00%,66.67%,$0.00
/ccg/08T/measures/?tags=lowpriority,20181203,3,2,00:01:08,1,0.00%,0.00%,$12.50
/ccg/08V/measures/?tags=lowpriority,20181212,3,2,00:01:07,1,0.00%,33.33%,$5.00
/ccg/08W/measures/?tags=lowpriority,20181220,3,3,00:00:40,0,0.00%,66.67%,$3.33
/ccg/09A/measures/?tags=lowpriority,20181115,3,1,00:02:48,0,0.00%,0.00%,$10.00
/ccg/09A/measures/?tags=lowpriority,20181129,3,2,00:00:30,0,0.00%,0.00%,$0.00
/ccg/09G/measures/?tags=lowpriority,20180925,3,1,00:06:03,0,0.00%,0.00%,$0.00
/ccg/09G/measures/?tags=lowpriority,20181030,3,1,00:00:19,0,0.00%,0.00%,$0.00
/ccg/09L/measures/?tags=lowpriority,20181205,3,1,00:00:33,0,0.00%,0.00%,$0.00
/ccg/09W/measures/?tags=lowpriority,20190122,3,2,00:00:17,0,0.00%,0.00%,$5.00
/ccg/10K/measures/?tags=lowpriority,20181031,3,3,00:00:21,0,0.00%,66.67%,$0.00
/ccg/10V/measures/?tags=lowpriority,20181108,3,2,00:00:55,0,0.00%,66.67%,$5.00
/ccg/10X/measures/?tags=lowpriority,20181003,3,1,00:01:41,0,0.00%,0.00%,$10.00
/ccg/11J/measures/?tags=lowpriority,20181206,3,1,00:00:20,0,0.00%,0.00%,$10.00
/ccg/11J/measures/?tags=lowpriority,20190114,3,1,00:02:55,0,0.00%,0.00%,$0.00
/ccg/11M/measures/?tags=lowpriority,20181004,3,1,00:01:17,0,0.00%,0.00%,$10.00
/ccg/11M/measures/?tags=lowpriority,20181018,3,3,00:11:57,0,0.00%,0.00%,$13.33
/ccg/11N/measures/?tags=lowpriority,20190109,3,2,00:05:13,0,0.00%,0.00%,$10.00
/ccg/11N/measures/?tags=lowpriority,20190131,3,2,00:17:04,1,100.00%,66.67%,$10.00
/ccg/11X/measures/?tags=lowpriority,20180906,3,1,00:01:10,0,0.00%,0.00%,$0.00
/ccg/12F/measures/?tags=lowpriority,20181010,3,2,00:00:32,0,0.00%,0.00%,$10.00
/ccg/13T/measures/?tags=lowpriority,20180921,3,1,00:00:37,0,0.00%,0.00%,$0.00
/ccg/13T/measures/?tags=lowpriority,20180928,3,1,00:00:16,0,0.00%,0.00%,$0.00
/ccg/99E/measures/?tags=lowpriority,20181120,3,1,00:00:35,0,0.00%,0.00%,$10.00
/ccg/99G/measures/?tags=lowpriority,20181125,3,1,00:00:32,0,0.00%,33.33%,$10.00
/ccg/99M/measures/?tags=lowpriority,20190115,3,1,00:00:08,0,0.00%,33.33%,$0.00
/ccg/99P/measures/?tags=lowpriority,20180921,3,2,00:07:31,0,0.00%,33.33%,$10.00
/ccg/99P/measures/?tags=lowpriority,20180924,3,1,00:00:55,1,0.00%,33.33%,$10.00
/ccg/99P/measures/?tags=lowpriority,20181015,3,2,00:01:55,0,0.00%,0.00%,$0.00
/ccg/99P/measures/?tags=lowpriority,20181129,3,2,00:00:09,0,0.00%,0.00%,$5.00
